city,station_name,pm25_current,latitude,longitude,last_updated
London,Haringey Roadside - UKA00260,10.0,51.59929999967941,-0.06821799979396657,2016-02-09T20:00:00Z
Birmingham,Birmingham Tyburn,3.0,52.511722,-1.830583,2017-06-06T16:00:00Z
Manchester,Salford Eccles,7.0,53.48481,-2.334139,2026-03-29T00:00:00Z
Leeds,Leeds Headingley Kerbside - UKA00527,8.0,53.819971999290644,-1.5763609997630645,2026-03-29T00:00:00Z
Edinburgh,Edinburgh St Leonards - UKA00454,4.0,55.94558899935107,-3.182185999735141,2026-03-29T00:00:00Z
